Model,Val SMAPE,Test SMAPE,Test MAE,Test RMSE
XGBoost,54.853348468553364,55.62890961976063,11.839359924990745,22.28604827398122
CatBoost,55.00308460115819,56.02565076210186,11.848800869985434,21.945667342686185
LightGBM,55.166526563656944,56.360682671763676,12.017203923555407,22.02715627631029
