iter	RMSE
0	0.9139084322
1	0.8918864324
2	0.8732160494
3	0.855601726
4	0.8400561808
5	0.8258652476
6	0.8130125759
7	0.801609466
8	0.7916424469
9	0.7823022886
10	0.7744089671
11	0.7675189204
12	0.7607894859
13	0.7546491586
14	0.7500401825
15	0.7451031134
16	0.7404390992
17	0.7366617526
18	0.7330268946
19	0.7297482943
20	0.7268638952
21	0.7241236221
22	0.721694186
23	0.7195362851
24	0.7175578931
25	0.7155582397
26	0.7139272717
27	0.7123307139
28	0.7107839918
29	0.7092055448
30	0.7082081947
31	0.7069599977
32	0.7059818183
33	0.7048845794
34	0.703824627
35	0.702785898
36	0.7020592272
37	0.7012259938
38	0.7003943696
39	0.6995472831
40	0.6988937504
41	0.6981772167
42	0.6974511277
43	0.6968134796
44	0.6963174138
45	0.6956765614
46	0.6950997229
47	0.6945670957
48	0.6940303386
49	0.6934152618
50	0.6928708114
51	0.6924108172
52	0.6920753496
53	0.6917372659
54	0.6912701063
55	0.690838975
56	0.6903112854
57	0.6899661732
58	0.6896801141
59	0.6892551991
60	0.6888828511
61	0.6884552591
62	0.6881848878
63	0.6878109228
64	0.687438271
65	0.6871849451
66	0.6869045337
67	0.6867351768
68	0.686502838
69	0.6861251907
70	0.6858303072
71	0.6854631962
72	0.6851959364
73	0.684925149
74	0.6847185956
75	0.6844872998
76	0.6842618696
77	0.684131626
78	0.6839611558
79	0.6836937301
80	0.6834500048
81	0.6832114465
82	0.6829464007
83	0.682787607
84	0.6826139318
85	0.6824347929
86	0.6822175961
87	0.6820379037
88	0.6818481482
89	0.6816623121
90	0.6813851445
91	0.6811791156
92	0.6809457744
93	0.6807272623
94	0.6805956473
95	0.6802963041
96	0.6800075516
97	0.6798346561
98	0.679657667
99	0.6794178812
100	0.6792492113
101	0.6790193445
102	0.6788029584
103	0.6786753697
104	0.6784789593
105	0.678288201
106	0.6782427353
107	0.6781175926
108	0.677921203
109	0.6778182511
110	0.6776446876
111	0.6774417353
112	0.6773137266
113	0.6771526043
114	0.6770316316
115	0.6768018848
116	0.6765809325
117	0.6764123451
118	0.6763668331
119	0.6762264604
120	0.6760132649
121	0.6758545307
122	0.6757602815
123	0.6755751682
124	0.6753724799
125	0.6751434997
126	0.674960771
127	0.6747821665
128	0.6746281481
129	0.6744245808
130	0.6743242522
131	0.6741506954
132	0.6739022224
133	0.6737774992
134	0.6736654195
135	0.6734864811
136	0.6733609692
137	0.6732583247
138	0.6731449862
139	0.6729900466
140	0.6727333506
141	0.6725617942
142	0.6723689749
143	0.6720441483
144	0.6719032899
145	0.6716725864
146	0.6715299473
147	0.6714286664
148	0.6712840127
149	0.6710792778
150	0.670922449
151	0.6707921633
152	0.6706704414
153	0.6706116603
154	0.6704616736
155	0.6702660857
156	0.6700630587
157	0.6699460995
158	0.6697108041
159	0.6696061607
160	0.6695249152
161	0.6693167501
162	0.6691768362
163	0.6689355906
164	0.6688026064
165	0.6687120541
166	0.6685690034
167	0.6683777851
168	0.6682299373
169	0.6681046482
170	0.6679978198
171	0.6677576764
172	0.6676126712
173	0.6674551081
174	0.6673147767
175	0.6672192307
176	0.6670577862
177	0.6669508576
178	0.6668464396
179	0.6667123151
180	0.6666228202
181	0.6665149233
182	0.6663026434
183	0.6661139807
184	0.6660441481
185	0.6659490784
186	0.6658709209
187	0.6657608245
188	0.6656339488
189	0.665482296
190	0.665364824
191	0.6652450839
192	0.6650525549
193	0.6649792786
194	0.6648162743
195	0.6647180923
196	0.6646103071
197	0.6644753804
198	0.664333895
199	0.6642240842
200	0.6641098168
201	0.6640090133
202	0.6638402906
203	0.6636835094
204	0.6635315573
205	0.6634041847
206	0.6633132639
207	0.6632399793
208	0.6631733168
209	0.6630560386
210	0.6628898871
211	0.6627673165
212	0.6626297551
213	0.6624801114
214	0.6622920813
215	0.6621859504
216	0.6620609663
217	0.6618729146
218	0.6617934307
219	0.6616078843
220	0.6615506142
221	0.6614171153
222	0.6612660869
223	0.6611174101
224	0.6609879819
225	0.6608645105
226	0.6607133225
227	0.6606634818
228	0.6605014831
229	0.6603706952
230	0.6602604549
231	0.660164309
232	0.6601089072
233	0.6600096938
234	0.6599306296
235	0.6598167285
236	0.6596640698
237	0.6595178262
238	0.6594161646
239	0.6593208181
240	0.6592347641
241	0.659067023
242	0.6589411468
243	0.6588913914
244	0.6587299684
245	0.6586530572
246	0.6585497735
247	0.658398219
248	0.6582519698
249	0.6581579654
250	0.6580614125
251	0.6579144888
252	0.6577943685
253	0.6576873886
254	0.657560687
255	0.6575044475
256	0.6573754119
257	0.6572850802
258	0.6571681064
259	0.6570442202
260	0.6569330824
261	0.6567814529
262	0.6566666112
263	0.6566044709
264	0.6565061701
265	0.6564539905
266	0.6563570674
267	0.6562960229
268	0.6561311869
269	0.6559792692
270	0.6558622397
271	0.6557404737
272	0.6556022328
273	0.6555198145
274	0.6553720412
275	0.6552650337
276	0.6551658031
277	0.6550335083
278	0.654890422
279	0.6548385907
280	0.6546975894
281	0.6546121889
282	0.6544835448
283	0.6544457632
284	0.6543624164
285	0.6543191174
286	0.6542089799
287	0.6541283094
288	0.6540586901
289	0.6539428266
290	0.6538236575
291	0.6537415699
292	0.6535805734
293	0.6534450113
294	0.6534055018
295	0.6533307962
296	0.6532318011
297	0.6531901024
298	0.6530507907
299	0.6529847342
300	0.6528924582
301	0.6527612071
302	0.6527262456
303	0.6526469959
304	0.6525964663
305	0.6524966951
306	0.6523349381
307	0.6521699348
308	0.6520403905
309	0.6519670144
310	0.6518325871
311	0.651768689
312	0.6516241517
313	0.6515822631
314	0.6514842442
315	0.6513447224
316	0.6512676441
317	0.6512063378
318	0.6511311703
319	0.6510213354
320	0.6509126941
321	0.6508199488
322	0.6506970969
323	0.650657359
324	0.6505437742
325	0.6504733757
326	0.6503921529
327	0.6503194533
328	0.6501638889
329	0.6500999519
330	0.6500379525
331	0.6499698521
332	0.6498737365
333	0.6497606856
334	0.6496564253
335	0.6495636794
336	0.6495030309
337	0.6494438839
338	0.6493521871
339	0.6492803034
340	0.6492377274
341	0.64908595
342	0.6490688259
343	0.6490095175
344	0.6489409545
345	0.6488511396
346	0.6487684617
347	0.6486612698
348	0.6485182819
349	0.648451498
350	0.6483368893
351	0.6482603842
352	0.6481760624
353	0.6480745872
354	0.6479907203
355	0.647954812
356	0.6478384509
357	0.6477307412
358	0.6476318826
359	0.6475531625
360	0.6474722927
361	0.6474329544
362	0.6473297418
363	0.6471853151
364	0.6471173704
365	0.6470240565
366	0.6469844331
367	0.6469040341
368	0.6467622753
369	0.6466811633
370	0.6465373651
371	0.6464868361
372	0.646366972
373	0.6463049297
374	0.6462219488
375	0.6461410907
376	0.6460595339
377	0.6460232732
