iter	RMSE
0	33.59666617
1	33.44990801
2	33.35384642
3	33.24783881
4	33.15821025
5	33.07059782
6	33.00417457
7	32.93179629
8	32.85973785
9	32.78008723
10	32.69852384
11	32.63435058
12	32.57109492
13	32.50355552
14	32.41870847
15	32.34693237
16	32.29063588
17	32.23724205
18	32.17901223
19	32.13081587
20	32.07507993
21	32.01604511
22	31.96171414
23	31.92090521
24	31.87148275
25	31.82309636
26	31.77130076
27	31.73577932
28	31.68995341
29	31.66196179
30	31.62031738
31	31.59305298
32	31.56121832
33	31.52325461
34	31.48855104
35	31.4475817
36	31.41347287
37	31.38328034
38	31.33207428
39	31.310085
40	31.27922236
41	31.20578805
42	31.17223262
43	31.14465403
44	31.11899109
45	31.0760902
46	31.04986278
47	31.01834847
48	30.93791793
49	30.92044702
50	30.89641245
51	30.87278743
52	30.85535341
53	30.82621703
54	30.79808945
55	30.77747489
56	30.75849468
57	30.73842863
58	30.68522848
59	30.67080292
60	30.6574759
61	30.59161363
62	30.57007162
63	30.5003252
64	30.48205147
65	30.41757863
66	30.3490499
67	30.28840988
68	30.26721802
69	30.25271918
70	30.24155273
71	30.22919981
72	30.2116942
73	30.18556932
74	30.16424309
75	30.1386076
76	30.12579012
77	30.1064675
78	30.06626695
79	30.05146418
80	30.01045638
81	29.97141054
82	29.95562156
83	29.94287435
84	29.89760026
85	29.87665073
86	29.85749154
87	29.83543096
88	29.82243808
89	29.810461
90	29.79867845
91	29.78427458
92	29.77120586
93	29.75174989
94	29.7289356
95	29.7037803
96	29.6862226
97	29.67816321
98	29.63385254
99	29.62015658
100	29.59784195
101	29.57626912
102	29.55789609
103	29.5017687
104	29.49380835
105	29.48333354
106	29.47576963
107	29.46345483
108	29.44247555
109	29.431398
110	29.38005858
111	29.36652069
112	29.3160209
113	29.30102609
114	29.28999111
115	29.2826541
116	29.27066327
117	29.2535164
118	29.24021475
119	29.2285027
120	29.21762629
121	29.20123638
122	29.19630311
123	29.18689805
124	29.17600888
125	29.12541016
126	29.11422263
127	29.09569155
128	29.08689593
129	29.07702138
130	29.06682206
131	29.05757455
132	29.04388909
133	29.02372599
134	29.0151009
135	29.00737505
136	28.9974868
137	28.96136763
138	28.94925197
139	28.94020471
140	28.92416324
141	28.91229682
142	28.9036354
143	28.89627757
144	28.88464155
145	28.87387541
146	28.84979224
147	28.84101309
148	28.82913269
149	28.81552726
150	28.80883519
151	28.79689452
152	28.75011533
153	28.74182776
154	28.72677179
155	28.7134829
156	28.70847372
157	28.68840041
158	28.68536642
159	28.67358965
160	28.62708831
161	28.62111914
162	28.61490473
163	28.60043227
164	28.58851449
165	28.58271545
166	28.56481058
167	28.5535296
168	28.54511698
169	28.53838763
170	28.53044113
171	28.52537665
172	28.51857634
173	28.49577926
174	28.48610439
175	28.48057847
176	28.44202542
177	28.43924185
178	28.43495883
179	28.42770638
180	28.38143062
181	28.37437944
182	28.35108334
183	28.33944655
184	28.3095889
185	28.3011977
186	28.2933037
187	28.26310815
188	28.25017341
189	28.24288216
190	28.2332848
191	28.1903812
192	28.18250311
193	28.1742081
194	28.16572286
195	28.15970061
196	28.11998646
197	28.09645826
198	28.08990695
199	28.08400062
200	28.0771689
201	28.06813268
202	28.06253458
203	28.05215869
204	28.04361315
205	28.03390055
206	28.02305432
207	28.01457964
208	28.00913844
209	28.00075545
210	27.96823364
211	27.93023734
212	27.92578295
213	27.92208629
214	27.91171767
215	27.89391397
216	27.88271102
217	27.8762983
218	27.8680814
219	27.85953437
220	27.85027561
221	27.84160632
222	27.83161579
223	27.83067809
224	27.82537033
225	27.82000396
226	27.81188938
227	27.80575041
228	27.80503386
229	27.79795151
230	27.76069669
231	27.75200697
232	27.74751856
233	27.73408447
234	27.69753538
235	27.69675985
236	27.69006895
237	27.68583761
238	27.68508021
239	27.67782407
240	27.67174137
241	27.66514519
242	27.63384002
243	27.62593323
244	27.61721929
245	27.61440659
246	27.59315894
247	27.58620399
248	27.58038882
249	27.54465788
250	27.50925645
251	27.50840401
252	27.50547426
253	27.49965932
254	27.48585
255	27.48004399
256	27.4729992
257	27.46363258
258	27.46246457
259	27.4618219
260	27.46072769
261	27.46011868
262	27.45948463
263	27.45889696
264	27.45829733
265	27.45105377
266	27.44232418
267	27.43063787
268	27.41991772
269	27.4193268
270	27.41161497
271	27.4053063
272	27.39449538
273	27.37497651
274	27.37389652
275	27.36416407
276	27.3568471
277	27.35063212
278	27.35008619
279	27.34334688
280	27.34280269
281	27.3381917
282	27.33765182
283	27.33160014
284	27.32626968
285	27.32059154
286	27.31350158
287	27.29683866
288	27.26484766
289	27.25960539
290	27.22797285
291	27.22697171
292	27.208563
293	27.20259876
294	27.19758509
295	27.18999723
296	27.18257361
297	27.18205736
298	27.1815713
299	27.1810847
300	27.14810092
301	27.13855834
302	27.13362318
303	27.12435276
304	27.12354182
305	27.11781409
306	27.1133052
307	27.10783532
308	27.0981848
309	27.09299538
310	27.07693788
311	27.07648726
312	27.07185983
313	27.06417984
314	27.05770515
315	27.05074796
316	27.03412935
317	27.0162817
318	27.01009291
319	26.99215254
320	26.96265218
321	26.96187034
322	26.93156258
323	26.93072208
324	26.90232675
325	26.88389705
326	26.87182047
327	26.86617256
328	26.85189261
329	26.85148925
330	26.84582419
331	26.83436165
332	26.82861656
333	26.82365695
334	26.81967112
335	26.81651809
336	26.81573239
337	26.8079681
338	26.80045617
339	26.79969042
340	26.79225141
341	26.78332243
342	26.78258303
343	26.776717
344	26.77199168
345	26.76395476
346	26.75977443
347	26.75325441
348	26.75252756
349	26.74838057
350	26.74668618
351	26.74599517
352	26.73861029
353	26.7270335
354	26.7217824
355	26.70673431
356	26.67994799
357	26.67194112
358	26.66420722
359	26.65894088
360	26.65057013
361	26.62287409
362	26.61151863
363	26.59799981
364	26.58940471
365	26.58559663
366	26.57775248
367	26.57708282
368	26.57644473
369	26.57582075
370	26.56632057
371	26.56019026
372	26.55581016
373	26.55062692
374	26.55002313
375	26.54701855
376	26.5407883
377	26.54020513
378	26.5141675
379	26.51078064
380	26.48539932
381	26.4848276
382	26.47811227
383	26.47374667
384	26.47317024
385	26.46956896
386	26.46244955
387	26.43837599
388	26.43145817
389	26.42516984
390	26.42113024
391	26.41410433
392	26.40680863
393	26.38305804
394	26.38086537
395	26.37306225
396	26.36404218
397	26.36091336
398	26.35479356
399	26.35168149
400	26.32803718
401	26.32650431
402	26.32329229
403	26.31933745
404	26.31348002
405	26.29048964
406	26.28270318
407	26.27724825
408	26.26993645
409	26.26803784
410	26.24561706
411	26.2242557
412	26.22042547
413	26.19882175
414	26.19319334
415	26.18116575
416	26.18064816
417	26.17234953
418	26.171831
419	26.15069705
420	26.13015833
421	26.12386427
422	26.11947258
423	26.11452923
424	26.10233021
425	26.101837
426	26.08175591
427	26.07702429
428	26.06373952
429	26.05363117
430	26.03373755
431	26.02740146
432	26.02568913
433	26.01732995
434	26.01204524
435	26.0092287
436	26.00873655
437	25.990006
438	25.97925389
439	25.97579743
440	25.96619268
441	25.95617278
442	25.95482056
443	25.95152324
444	25.94988126
445	25.94325404
446	25.93662094
447	25.93551085
448	25.92770954
449	25.90981627
450	25.89881113
451	25.89009522
452	25.88531111
453	25.88040073
454	25.8787797
455	25.87757653
456	25.8731597
457	25.86997726
458	25.86571892
459	25.85799755
460	25.853122
461	25.83569827
462	25.83097382
463	25.82839899
464	25.82045882
465	25.80851552
466	25.79343526
467	25.78878477
468	25.78414351
469	25.7825056
470	25.77798124
471	25.77756352
472	25.77175783
473	25.76998253
474	25.76827798
475	25.75783475
476	25.75322527
477	25.7490856
478	25.74331108
479	25.74158372
480	25.72399364
481	25.71802173
482	25.71669555
483	25.71447497
484	25.70932647
485	25.70657202
486	25.70132579
487	25.70006535
488	25.69779852
489	25.68763261
490	25.68236153
491	25.68202484
492	25.67688029
493	25.66638227
494	25.66037102
495	25.65353773
496	25.64754545
497	25.64732364
498	25.6448893
499	25.63559063
500	25.63209751
501	25.63046396
502	25.62725429
503	25.62564636
504	25.62023406
505	25.61510438
506	25.61477468
507	25.6104713
508	25.60513353
509	25.59888259
510	25.58848645
511	25.58588709
512	25.57647229
513	25.57114623
514	25.56527251
515	25.5606693
516	25.55816658
517	25.55227347
518	25.5449965
519	25.53835516
520	25.52950307
521	25.52805052
522	25.52648236
523	25.52018762
524	25.51913145
525	25.51529196
526	25.50869864
527	25.50338836
528	25.49827007
529	25.49009293
530	25.48784288
531	25.48307061
532	25.47598266
533	25.47233563
534	25.46675298
535	25.46160853
536	25.45758738
537	25.45409556
538	25.45152611
539	25.44659946
540	25.44165472
541	25.43821583
542	25.4365548
543	25.4328081
544	25.42435712
545	25.4198994
546	25.41556601
547	25.41455361
548	25.40879467
549	25.40228684
550	25.39573605
551	25.39046124
552	25.38759545
553	25.38382918
554	25.37939216
555	25.37394558
556	25.36920112
557	25.35721202
558	25.3559111
559	25.35309587
560	25.35003013
561	25.34404806
562	25.33667915
563	25.33213999
564	25.32906748
565	25.32783525
566	25.32492678
567	25.32075498
568	25.31550485
569	25.31527676
570	25.31430274
571	25.31247733
572	25.30997281
573	25.30530428
574	25.30380801
575	25.29881274
576	25.29788948
577	25.29539929
578	25.29229987
579	25.28753197
580	25.28631055
581	25.27146232
582	25.26829366
583	25.26421243
584	25.25568072
585	25.25180001
586	25.24719283
587	25.23114767
588	25.22330037
589	25.2215355
590	25.21835544
591	25.21209573
592	25.20936934
593	25.20335981
594	25.19701484
595	25.19260486
596	25.19086313
597	25.19068494
598	25.18831179
599	25.18813673
600	25.18444949
601	25.17945128
602	25.1733434
603	25.17023142
604	25.16520213
605	25.16046543
606	25.15324906
607	25.14890091
608	25.14521257
609	25.14015206
610	25.12638412
611	25.12066097
612	25.11915401
613	25.11655844
614	25.11501045
615	25.10922878
616	25.1073243
617	25.10495296
618	25.09194234
619	25.08720815
620	25.08280284
621	25.08026875
622	25.07906146
623	25.0772102
624	25.07255978
625	25.06999345
626	25.06526257
627	25.06266736
628	25.05715052
629	25.04929645
630	25.0484413
631	25.03392566
632	25.03380048
633	25.03178864
634	25.02873011
635	25.02568999
636	25.02458324
637	25.02033956
638	25.01871759
639	25.01325984
640	25.00921357
641	25.00517503
642	25.00378392
643	25.00026149
644	24.99639517
645	24.99163489
646	24.99014815
647	24.98713228
648	24.98006954
649	24.97904937
650	24.97623189
651	24.97091907
652	24.96624363
653	24.9613558
654	24.95990457
655	24.9572981
656	24.95719885
657	24.9522969
658	24.94862183
659	24.94599406
660	24.94216978
661	24.9401304
662	24.93786967
663	24.93492275
664	24.93479541
665	24.93271866
666	24.9285133
667	24.91929676
668	24.91453633
669	24.91210973
670	24.90891501
671	24.9043868
672	24.90429465
673	24.90106909
674	24.89634832
675	24.89422994
676	24.89022895
677	24.88886186
678	24.88408145
679	24.88252215
680	24.87929156
681	24.87803634
682	24.8743544
683	24.87313043
684	24.8706739
685	24.86872355
686	24.86716376
687	24.8615556
688	24.85822612
689	24.85537832
690	24.8496462
691	24.84760726
692	24.84436886
693	24.84025846
694	24.83534111
695	24.83359869
696	24.8284922
697	24.82515902
698	24.82200873
699	24.81794593
700	24.80550609
701	24.79956272
702	24.79327077
703	24.79110219
704	24.78919515
705	24.78747084
706	24.78561156
707	24.78244506
708	24.7793472
709	24.77419866
710	24.77060696
711	24.76544412
712	24.76179521
713	24.75848326
714	24.74640987
715	24.7443501
716	24.74193326
717	24.73542787
718	24.73129925
719	24.72907741
720	24.72787098
721	24.72052918
722	24.71835148
723	24.71336002
724	24.71038385
725	24.70749328
726	24.70309663
727	24.69131959
728	24.68683913
729	24.6844144
730	24.68129096
731	24.67792774
